评论,城市,性别,粉丝数,好友数,微博数,创建时间,热搜名字
第一条我太共鸣了，本人去年一站每天纠结要不要考上，结果二战了吧。就是要相信自己一定能行！,其他,f,0,98,18,2026-04-21 17:12:44,考研
谢谢宝宝分享,陕西,f,36,425,88,2026-04-18 20:33:50,考研
感谢分享,其他,f,16,154,633,2026-04-18 20:08:59,考研
Mark笔记(๑•̀ω•́๑)📝,北京,f,542,530,1780,2026-04-23 16:15:32,考研
其实心态真的很重要 特别是到复试的时候,其他,f,1,261,1114,2026-04-23 01:43:27,考研
宝宝我想问一下一天一篇真题阅读是先练老题再练新题嘛，真题练完了是从头重新开始再练一遍嘛,安徽,f,341,857,7215,2026-04-19 19:09:02,考研
非常真实有用,其他,f,6,513,3455,2026-04-18 22:55:18,考研
可以考虑海文考研,其他,f,2,43,376,2026-04-23 18:30:33,考研
谢谢宝宝分享,江苏,m,79,2170,119,2026-04-20 22:29:46,考研
我一直在幻想自己考上公办本科的那个画面 又觉得自己是不是想太多了 怕期望越大失望越大,其他,m,66,906,1279,2026-04-20 11:41:35,考研
学习,其他,f,121,1174,2671,2026-04-19 21:16:33,考研
谢谢宝宝！,海外,f,30,342,756,2026-04-18 23:20:40,考研
感谢分享,其他,f,24,5371,6657,2026-04-18 22:17:01,考研
谢谢宝宝 6月份我一定会高考大捷！,其他,m,5,20,25,2026-04-18 19:41:10,考研
